,model_type,iteration,alignment_edit_distance_rate,phoneme_l1_distance
189,flowtron_CTC_guided,66000,67.57111001733682,4.65310855158564
168,flowtron_CTC_guided,68000,60.66890752308012,3.1073666518482925
191,flowtron_CTC_guided,70000,65.95961170223498,3.8644578260617486
211,flowtron_CTC_guided,72000,65.20906960106478,4.557537842721887
224,flowtron_CTC_guided,74000,65.42725243847143,4.427515696964972
235,flowtron_CTC_guided,76000,66.29873836685056,4.378005610487278
125,flowtron_CTC_guided,78000,65.79685403110304,3.884029674378243
143,flowtron_CTC_guided,80000,63.158787969573964,3.781260317195917
130,flowtron_CTC_guided,82000,64.51236562347341,4.38462956811462
179,flowtron_CTC_guided,84000,69.01497657329068,4.893907783471601
164,flowtron_CTC_guided,86000,61.8793753578942,3.609945986188999
204,flowtron_CTC_guided,88000,66.30773014706092,4.665304700769071
160,flowtron_CTC_guided,90000,70.65704646683065,4.8537536952933165
174,flowtron_CTC_guided,92000,64.41719547866559,3.794313354904181
132,flowtron_CTC_guided,94000,69.15691683897658,5.214448589164581
150,flowtron_CTC_guided,96000,62.4676847576992,3.72939598628973
217,flowtron_CTC_guided,98000,62.83831368279738,3.8272040051437153
203,flowtron_CTC_guided,100000,71.0457216363475,4.87995727600209
186,flowtron_CTC_guided,102000,65.11346394328292,4.408411213691442
229,flowtron_CTC_guided,104000,65.69477230644557,4.390714915549658
213,flowtron_CTC_guided,106000,69.40600021863722,5.023445384383315
144,flowtron_CTC_guided,108000,70.6555761366066,5.239182262051074
216,flowtron_CTC_guided,110000,67.19446899063081,4.361170524940671
233,flowtron_CTC_guided,112000,69.25382800701928,5.033493996520339
184,flowtron_CTC_guided,114000,64.45049512456927,4.197840548514089
196,flowtron_CTC_guided,116000,59.95347151206646,3.3429493340831873
161,flowtron_CTC_guided,118000,64.65230952707877,3.9550619570126297
169,flowtron_CTC_guided,120000,61.67982505911609,3.444187115012626
152,flowtron_CTC_guided,122000,63.87691861126346,3.978065470643943
139,flowtron_CTC_guided,124000,68.5049157455512,5.211365313424775
126,flowtron_CTC_guided,126000,67.99254957426756,4.895072360053395
240,flowtron_CTC_guided,128000,66.91436448248297,4.460652477344504
122,flowtron_CTC_guided,130000,68.46398170779733,4.930037768691363
137,flowtron_CTC_guided,132000,59.54477166974416,2.7922253179820444
154,flowtron_CTC_guided,134000,59.27422267116401,2.7189986082497777
171,flowtron_CTC_guided,136000,59.00295005428758,2.7762092807342595
195,flowtron_CTC_guided,138000,58.91742005969902,2.720541998667062
205,flowtron_CTC_guided,140000,62.126244016207146,3.3359039441440625
185,flowtron_CTC_guided,142000,59.00686705667749,2.8157710393538653
228,flowtron_CTC_guided,144000,58.37907484850704,3.074913509610932
215,flowtron_CTC_guided,146000,59.70314377503898,2.733731335146982
142,flowtron_CTC_guided,148000,59.267823964101105,2.7484997627422376
218,flowtron_CTC_guided,150000,59.01639833820074,2.7588299054098995
232,flowtron_CTC_guided,152000,58.86350010352684,2.7423871871113126
182,flowtron_CTC_guided,154000,58.88086396868482,2.718265997305107
199,flowtron_CTC_guided,156000,58.55665766441582,2.630734527040623
159,flowtron_CTC_guided,158000,58.63710375913827,2.782014206751088
170,flowtron_CTC_guided,160000,59.71673414742927,2.7677918036587803
151,flowtron_CTC_guided,162000,59.01455236773113,2.7394045074533815
138,flowtron_CTC_guided,164000,58.07601410270128,2.7836000005727106
128,flowtron_CTC_guided,166000,60.45928425901288,2.7265160879088866
239,flowtron_CTC_guided,168000,59.349171077666405,2.787605293176971
123,flowtron_CTC_guided,170000,58.18327919922492,2.6967930302274365
136,flowtron_CTC_guided,172000,59.28344358720868,2.757348801845666
153,flowtron_CTC_guided,174000,59.70450760847224,2.7108232027825423
173,flowtron_CTC_guided,176000,59.259737816173356,3.1067930698094255
194,flowtron_CTC_guided,178000,58.334104217090214,2.746326938258723
201,flowtron_CTC_guided,180000,59.116117115380746,2.7069337955512975
187,flowtron_CTC_guided,182000,58.869758444313035,2.680302723337631
230,flowtron_CTC_guided,184000,57.9567934252254,2.721471496392713
212,flowtron_CTC_guided,186000,58.62216293854168,2.731918767114054
146,flowtron_CTC_guided,188000,58.664230091031506,2.6897228966168694
